countyName,perCapitaPersonalIncome
"Autauga, AL",26331
"Baldwin, AL",29093
"Barbour, AL",21303
"Bibb, AL",20529
"Blount, AL",22532
"Bullock, AL",18657
"Butler, AL",23643
"Calhoun, AL",26461
"Chambers, AL",22799
"Cherokee, AL",22145
"Chilton, AL",22445
"Choctaw, AL",22215
"Clarke, AL",23035
"Clay, AL",22389
"Cleburne, AL",23057
"Coffee, AL",29174
"Colbert, AL",23898
"Conecuh, AL",21973
"Coosa, AL",21213
"Covington, AL",24455
"Crenshaw, AL",26656
"Cullman, AL",24971
"Dale, AL",23965
"Dallas, AL",23106
"DeKalb, AL",24475
"Elmore, AL",25740
"Escambia, AL",21227
"Etowah, AL",25101
"Fayette, AL",22039
"Franklin, AL",23133
"Geneva, AL",24122
"Greene, AL",22296
"Hale, AL",19713
"Henry, AL",22613
"Houston, AL",29040
"Jackson, AL",23587
"Jefferson, AL",36963
"Lamar, AL",20757
"Lauderdale, AL",24890
"Lawrence, AL",23406
"Lee, AL",23497
"Limestone, AL",25760
"Lowndes, AL",20717
"Macon, AL",18714
"Madison, AL",32638
"Marengo, AL",25534
"Marion, AL",22765
"Marshall, AL",26620
"Mobile, AL",24230
"Monroe, AL",22976
"Montgomery, AL",32959
"Morgan, AL",29781
"Perry, AL",20190
"Pickens, AL",22676
"Pike, AL",27002
"Randolph, AL",21210
"Russell, AL",22698
"St. Clair, AL",25544
"Shelby, AL",37335
"Sumter, AL",19512
"Talladega, AL",25250
"Tallapoosa, AL",23938
"Tuscaloosa, AL",28459
"Walker, AL",24786
"Washington, AL",21014
"Wilcox, AL",18313
"Winston, AL",22086
"Aleutians East, AK",26651
"Aleutians West, AK",26710
"Anchorage, AK",39206
"Bethel, AK",24113
"Bristol Bay, AK",38285
"Denali, AK",41671
"Dillingham, AK",29393
"Fairbanks North Star, AK",29602
"Haines, AK",38225
"Hoonah-Angoon, AK",32300
"Juneau, AK",36840
"Kenai Peninsula, AK",29828
"Ketchikan Gateway, AK",38614
"Kodiak Island, AK",31597
"Lake and Peninsula, AK",27144
"Matanuska-Susitna, AK",29587
"Nome, AK",25673
"North Slope, AK",40510
"Northwest Arctic, AK",24993
"Petersburg, AK",32254
"Prince of Wales-Hyder, AK",22349
"Sitka, AK",31825
"Skagway, AK",0
"Southeast Fairbanks, AK",30107
"Valdez-Cordova, AK",34267
"Wade Hampton, AK",15371
"Wrangell, AK",0
"Yakutat, AK",32726
"Yukon-Koyukuk, AK",24803
"Apache, AZ",17749
"Cochise, AZ",25155
"Coconino, AZ",26443
"Gila, AZ",22971
"Graham, AZ",18176
"Greenlee, AZ",24127
"La Paz, AZ",19746
"Maricopa, AZ",31715
"Mohave, AZ",21068
"Navajo, AZ",17580
"Pima, AZ",27261
"Pinal, AZ",20769
"Santa Cruz, AZ",19393
"Yavapai, AZ",23889
"Yuma, AZ",20280
"Arkansas, AR",28224
"Ashley, AR",22797
"Baxter, AR",24763
"Benton, AR",29222
"Boone, AR",23171
"Bradley, AR",22244
"Calhoun, AR",20995
"Carroll, AR",21166
"Chicot, AR",20391
"Clark, AR",22478
"Clay, AR",21018
"Cleburne, AR",24604
"Cleveland, AR",25064
"Columbia, AR",25835
"Conway, AR",24200
"Craighead, AR",24569
"Crawford, AR",21351
"Crittenden, AR",23735
"Cross, AR",20350
"Dallas, AR",22733
"Desha, AR",20645
"Drew, AR",22596
"Faulkner, AR",24765
"Franklin, AR",23458
"Fulton, AR",19045
"Garland, AR",26758
"Grant, AR",25317
"Greene, AR",21765
"Hempstead, AR",22059
"Hot Spring, AR",21382
"Howard, AR",24152
"Independence, AR",24456
"Izard, AR",20375
"Jackson, AR",22292
"Jefferson, AR",23272
"Johnson, AR",20178
"Lafayette, AR",21692
"Lawrence, AR",20028
"Lee, AR",19066
"Lincoln, AR",18349
"Little River, AR",23672
"Logan, AR",21123
"Lonoke, AR",25037
"Madison, AR",22060
"Marion, AR",20070
"Miller, AR",25217
"Mississippi, AR",23026
"Monroe, AR",21551
"Montgomery, AR",20578
"Nevada, AR",23402
"Newton, AR",18439
"Ouachita, AR",22803
"Perry, AR",23714
"Phillips, AR",20927
"Pike, AR",23077
"Poinsett, AR",20855
"Polk, AR",20598
"Pope, AR",23400
"Prairie, AR",23216
"Pulaski, AR",35556
"Randolph, AR",19575
"St. Francis, AR",19576
"Saline, AR",27714
"Scott, AR",21842
"Searcy, AR",17819
"Sebastian, AR",29591
"Sevier, AR",21708
"Sharp, AR",18681
"Stone, AR",20143
"Union, AR",30267
"Van Buren, AR",20351
"Washington, AR",26794
"White, AR",21648
"Woodruff, AR",20567
"Yell, AR",21995
"Alameda, CA",41083
"Alpine, CA",31913
"Amador, CA",29415
"Butte, CA",25781
"Calaveras, CA",28182
"Colusa, CA",27086
"Contra Costa, CA",47797
"Del Norte, CA",20866
"El Dorado, CA",39705
"Fresno, CA",25293
"Glenn, CA",22824
"Humboldt, CA",26957
"Imperial, CA",21451
"Inyo, CA",28957
"Kern, CA",24186
"Kings, CA",20837
"Lake, CA",26807
"Lassen, CA",20753
"Los Angeles, CA",33167
"Madera, CA",21954
"Marin, CA",74230
"Mariposa, CA",25663
"Mendocino, CA",28249
"Merced, CA",22955
"Modoc, CA",25004
"Mono, CA",34809
"Monterey, CA",34362
"Napa, CA",42025
"Nevada, CA",35818
"Orange, CA",42420
"Placer, CA",40067
"Plumas, CA",31243
"Riverside, CA",26406
"Sacramento, CA",32274
"San Benito, CA",30534
"San Bernardino, CA",25173
"San Diego, CA",38567
"San Francisco, CA",56366
"San Joaquin, CA",25785
"San Luis Obispo, CA",32524
"San Mateo, CA",56788
"Santa Barbara, CA",38251
"Santa Clara, CA",48958
"Santa Cruz, CA",40632
"Shasta, CA",28163
"Sierra, CA",24513
"Siskiyou, CA",26260
"Solano, CA",32020
"Sonoma, CA",38887
"Stanislaus, CA",26132
"Sutter, CA",27680
"Tehama, CA",22115
"Trinity, CA",23736
"Tulare, CA",23211
"Tuolumne, CA",27714
"Ventura, CA",38545
"Yolo, CA",29727
"Yuba, CA",23003
"Adams, CO",28228
"Alamosa, CO",23565
"Arapahoe, CO",45486
"Archuleta, CO",21583
"Baca, CO",25591
"Bent, CO",16943
"Boulder, CO",42833
"Broomfield, CO",31319
"Chaffee, CO",23967
"Cheyenne, CO",30049
"Clear Creek, CO",45735
"Conejos, CO",18084
"Costilla, CO",20465
"Crowley, CO",14506
"Custer, CO",26119
"Delta, CO",22391
"Denver, CO",44659
"Dolores, CO",24503
"Douglas, CO",41136
"Eagle, CO",41315
"Elbert, CO",35082
"El Paso, CO",31385
"Fremont, CO",20278
"Garfield, CO",29893
"Gilpin, CO",34768
"Grand, CO",31784
"Gunnison, CO",27625
"Hinsdale, CO",25703
"Huerfano, CO",19183
"Jackson, CO",22311
"Jefferson, CO",40919
"Kiowa, CO",30963
"Kit Carson, CO",25357
"Lake, CO",21865
"La Plata, CO",31360
"Larimer, CO",32176
"Las Animas, CO",22690
"Lincoln, CO",19637
"Logan, CO",24548
"Mesa, CO",27131
"Mineral, CO",26817
"Moffat, CO",26948
"Montezuma, CO",24882
"Montrose, CO",25504
"Morgan, CO",23797
"Otero, CO",23886
"Ouray, CO",34943
"Park, CO",28689
"Phillips, CO",23024
"Pitkin, CO",72816
"Prowers, CO",24027
"Pueblo, CO",25002
"Rio Blanco, CO",29950
