NAME,ADDRESS,LATITUDE,LONGITUDE,RATING
"Pirate's Island Adventure Golf","3201 Gulf Shores Pkwy, Gulf Shores, AL 36542, USA",30.2864091,-87.6867146,4.7
"Shrimpy's Mini Golf","204 E 2nd Ave, Gulf Shores, AL 36542, USA",30.2507290,-87.6878023,3.7
"Tiki's Mini Golf & Bike Rentals","1204 Gulf Shores Pkwy, Gulf Shores, AL 36542, USA",30.2618754,-87.6881393,3.9
"The Putting Place","5103 Girby Rd, Mobile, AL 36693, USA",30.6181230,-88.1597267,3.6
"Treetop Family Adventure","1012 Dunnavant Valley Rd, Birmingham, AL 35242, USA",33.3735740,-86.6629890,4.1
"Sonny's Family Fun Center","25455 AL-69, Jasper, AL 35504, USA",33.8413820,-87.2164130,4.3
"Adventureland Theme Park","3738 W Main St, Dothan, AL 36305, USA",31.2336375,-85.4488357,4.4
"Southern Golf","2550 Pelham Pkwy, Pelham, AL 35124, USA",33.3207103,-86.7973666,4.7
"Southern Adventures","2150 Leeman Ferry Cir SW, Huntsville, AL 35801, USA",34.6972820,-86.5943159,3.9
"Southwest Greens of Birmingham","2316 1st Ave N, Birmingham, AL 35203, USA",33.5169790,-86.8009075,NONE
"Blacklight Mini Golf Gadsden","1001 Rainbow Dr, Gadsden, AL 35901, USA",33.9956998,-86.0073337,3.3
"Putt-Putt Fun Center","3349 GA-20, Rome, GA 30165, USA",34.2711310,-85.2705330,4.0
"Killen Time Mini Golf","4051 U.S. 72, Killen, AL 35645, USA",34.8599725,-87.4997432,4.8
"Track Family Recreation Center","3200 Gulf Shores Pkwy, Gulf Shores, AL 36542, USA",30.2864132,-87.6857152,4.2
"Funland Golf Course","401 14th St SE, Decatur, AL 35601, USA",34.5758001,-86.9820742,3.7
"ENTERPRISE MINIATURE GOLF, LLC.","1304 E Park Ave, Enterprise, AL 36330, USA",31.3071170,-85.8311871,5.0
"Putters Wild","1230 E 68th Ave #109, Anchorage, AK 99518, USA",61.1585920,-149.8586030,4.3
"Castle On O'Malley","1520 O'Malley Rd, Anchorage, AK 99507, USA",61.1223023,-149.8537644,4.0
"Pioneer Park Mini Golf","2300 Airport Way, Fairbanks, AK 99701, USA",64.8377435,-147.7715991,NONE
"Glow Putt Mini Golf","9160 E Shea Blvd #110, Scottsdale, AZ 85260, USA",33.5837032,-111.8837393,4.7
"Glowgolf","4568 E Cactus Rd D-004, Phoenix, AZ 85032, USA",33.6022845,-111.9818821,3.1
"Castles ~n~ Coasters","9445 N Metro Pkwy E, Phoenix, AZ 85051, USA",33.5725260,-112.1187880,4.3
"Casey's SportsWorld","3947 E Union Hills Dr, Phoenix, AZ 85050, USA",33.6541940,-111.9969230,4.2
"CrackerJax","16001 N Scottsdale Rd, Scottsdale, AZ 85254, USA",33.6309937,-111.9231851,3.5
"Golfland Sunsplash","155 W Hampton Ave, Mesa, AZ 85210, USA",33.3880567,-111.8378374,4.2
"Golf N' Stuff","6503 E Tanque Verde Rd, Tucson, AZ 85715, USA",32.2459311,-110.8543460,4.2
"Wazee's World Laser Zone LLC","9750 W Peoria Ave, Peoria, AZ 85345, USA",33.5812882,-112.2692726,3.6
"Beardsley Park Miniature Golf Course","12702 W Beechwood Dr, Sun City West, AZ 85375, USA",33.6645837,-112.3300203,3.2
"Sun City west miniature golf course","19803 N R H Johnson Blvd, Sun City West, AZ 85375, USA",33.6619890,-112.3541073,2.5
"Fat Cats Gilbert","4321 E Baseline Rd, Gilbert, AZ 85234, USA",33.3782182,-111.7416641,4.5
"Triple Play","1570 W Duval Mine Rd, Green Valley, AZ 85614, USA",31.8993654,-110.9987485,4.1
"Funtasticks Family Fun Park","221 E Wetmore Rd, Tucson, AZ 85705, USA",32.2878941,-110.9684223,3.9
"Z Fun Factory","4446 E County 10th St, Yuma, AZ 85365, USA",32.6852950,-114.5567820,4.1
"Arizona Turf Store","7625 E Redfield Rd #900, Scottsdale, AZ 85260, USA",33.6135260,-111.9165140,3.0
"Freedom Station Family Fun Center","2992 N Park Ave A, Prescott Valley, AZ 86314, United States",34.5863890,-112.3386740,4.1
"Rolling Hills Golf Course","1415 N Mill Ave, Tempe, AZ 85281, USA",33.4449783,-111.9481945,4.2
"Xtreme Fun Spot","6901 N Casa Grande Hwy, Tucson, AZ 85743, USA",32.3326246,-111.0646705,4.9
"Scooter's Family Fun Center","2750 Miracle Mile, Bullhead City, AZ 86442, USA",35.0853855,-114.5955635,4.2
"Cabot Miniature Golf and Driving Range","11605 AR-5, Cabot, AR 72023, USA",34.9727833,-92.0729633,3.0
"Big Rock Mini Golf & Fun Park","11411 Baseline Rd, Little Rock, AR 72209, USA",34.6699917,-92.4047398,4.5
"Pirate's Cove Adventure Golf","4612 Central Ave, Hot Springs, AR 71913, USA",34.4485680,-93.0873420,4.8
"Golf Mountain Mini Golf","1115 N Dixieland St, Lowell, AR 72745, USA",36.2707059,-94.1443616,4.5
"T-Rex Golf","1115 Central Ave, Hot Springs National Park, AR 71901, USA",34.5046640,-93.0550450,3.4
"Gator Golf Miniature Golf Course","2692 N College Ave, Fayetteville, AR 72703, USA",36.1002000,-94.1491806,4.5
"Salty Harbor Mini Golf & Fun Park","17250 I-30, Benton, AR 72019, USA",34.5798580,-92.5852731,4.3
"Arkansas Putting Greens and Synthetic Turf","2890 Bella Vista Way, Bella Vista, AR 72714, USA",36.4367870,-94.2385060,5.0
"Grand Slam Fun Center","6948, 5300 S Zero St, Fort Smith, AR 72903, United States",35.3262994,-94.3750467,4.4
"Volcano Falls Miniature Golf","2614 Albert Pike Rd, Hot Springs, AR 71913, USA",34.4946770,-93.1187090,4.1
"Ben Geren Miniature Golf","7200 Zero St, Fort Smith, AR 72903, USA",35.3256670,-94.3556110,2.3
"The Putting Edge and Arcade","1433 E Parker Rd, Jonesboro, AR 72404, USA",35.8067898,-90.6918392,3.4
"Puttin Klub","821 McClendon Rd, Hot Springs, AR 71901, USA",34.5082499,-93.0080240,NONE
"Lokomotion Family Fun Park","4520 N College Ave, Fayetteville, AR 72703, USA",36.1334670,-94.1450110,4.2
"Golf World","4705 S University Ave, Little Rock, AR 72209, USA",34.7075691,-92.3406670,4.4
"Woodlawn Mead Park Mini-Golf","501 Dave Creek Pkwy, Fairfield Bay, AR 72088, USA",35.6090574,-92.2687619,4.7
"Pirate's Cove Adventure Golf","2901 Green Mountain Dr, Branson, MO 65616, USA",36.6323640,-93.2740920,4.6
"The Vault","Rogers, AR 72758, USA",36.3087543,-94.1744315,NONE
"Ole Chi Mill","3948 US-62, Mountain Home, AR 72653, USA",36.3686172,-92.3237607,4.7
"Monster Mini Golf","12401 Folsom Blvd, Rancho Cordova, CA 95742, USA",38.6298574,-121.2149226,4.4
"Twain Harte Miniature Golf","23098 Fuller Rd, Twain Harte, CA 95383, USA",38.0398638,-120.2303064,4.8
"GLO Mini Golf | Arcade | Virtual Reality | Ice Cream Bar","1299 Tyler St E106, Riverside, CA 92503, USA",33.9099800,-117.4565230,4.1
"Subpar Miniature Golf","1511 Park St, Alameda, CA 94501, USA",37.7657642,-122.2417401,4.3
"Tiki Town Adventure Golf","3114 Mission Blvd, San Diego, CA 92109, USA",32.7702430,-117.2514930,4.2
"Kings Beach Miniature Golf","8693 N Lake Blvd, Kings Beach, CA 96143, USA",39.2355236,-120.0198449,4.4
"Golfland USA","855 E El Camino Real, Sunnyvale, CA 94087, USA",37.3548020,-122.0157610,4.4
"Golden Tee Golfland","2533 Castro Valley Blvd, Castro Valley, CA 94546, USA",37.6926350,-122.0876755,4.3
"Golfland","1199 Jacklin Rd, Milpitas, CA 95035, USA",37.4477458,-121.8899857,4.1
"Del Mar Golf Center - Pelly's Mini Golf","15555 Jimmy Durante Blvd, Del Mar, CA 92014, USA",32.9761799,-117.2529380,4.4
"Frosty's Miniature Golf","164 Old Mammoth Rd, Mammoth Lakes, CA 93546, USA",37.6435516,-118.9673740,NONE
"Tatonka Land Mini Golf","14240 Lakeshore Dr, Clearlake, CA 95422, USA",38.9550506,-122.6461972,3.5
